id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct
XLM,XLM,XLM,Stellar,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xlm.svg,active,0.18437724,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,21695432586,50000000000,4000143902,144,426,53,2014-08-11T00:00:00Z,2014-08-11T00:00:00Z,2018-08-29T00:00:00Z,11,0,0.89732782,2018-01-03T00:00:00Z,559489505.70,-0.00298178,-0.0159,-368125709.49,-0.3969,-64300610.04,-0.0158
BSV,BSV,BSV,Bitcoin SV,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BSV.png,active,170.00307545,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,18586777,21000000,3159809192,126,500,69,2017-07-09T00:00:00Z,2018-11-08T00:00:00Z,2018-11-13T00:00:00Z,12,0,422.34138926,2020-01-14T00:00:00Z,487706284.11,-1.84369563,-0.0107,-383917590.41,-0.4405,-34110474.69,-0.0107
USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,1.00382363,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,2972134563,2972959687,2983498891,142,1152,360,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-10-26T00:00:00Z,13,0,1.03518545,2020-03-12T00:00:00Z,687097545.57,0.01127051,0.0114,-115070244.53,-0.1434,23013897.60,0.0078
EOS,EOS,EOS,EOS,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eos.svg,active,3.04003008,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,948168168,,2882459752,195,984,158,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-08-29T00:00:00Z,14,0,21.48313440,2018-04-29T00:00:00Z,2252978429.70,-0.00478846,-0.0016,-1214018486.79,-0.3502,-4372363.86,-0.0015
HEX,HEX,HEX,HEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HEX.jpeg,active,0.00426703,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,566784709952,626553247752,2418487279,25,66,0,2019-12-13T00:00:00Z,2020-06-09T00:00:00Z,2020-03-11T00:00:00Z,15,0,0.01414524,2020-11-01T00:00:00Z,4206391.24,-0.00032901,-0.0716,-1859071.95,-0.3065,-187099406.77,-0.0718
WBTC,WBTC,WBTC,Wrapped Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WBTC.png,active,19081.31488656,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,119893,119893,2287724461,41,180,6,2019-01-29T00:00:00Z,2019-01-29T00:00:00Z,2019-02-14T00:00:00Z,16,0,19701.40944594,2020-11-30T00:00:00Z,49398403.21,186.47260747,0.0099,-23758609.72,-0.3248,22356842.17,0.0099
XMR,XMR,XMR,Monero,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xmr.svg,active,127.34248987,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,17774651,,2263468278,110,347,66,2014-05-19T00:00:00Z,2014-05-19T00:00:00Z,2018-08-29T00:00:00Z,17,0,470.19243525,2017-12-20T00:00:00Z,371036899.44,1.17565583,0.0093,-72348338.36,-0.1632,21015182.84,0.0094
TRX,TRX,TRX,TRON,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/TRX.svg,active,0.03089974,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,71660220128,100850743812,2214282114,169,838,495,2017-10-06T00:00:00Z,2017-10-06T00:00:00Z,2018-08-29T00:00:00Z,18,0,0.20706572,2018-01-04T00:00:00Z,713860435.69,0.00037920,0.0124,-566428344.10,-0.4424,27173254.21,0.0124
CDAI,CDAI,CDAI,Compound Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CDAI.svg,active,0.02524174,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,75018317003,75018317003,1893592906,4,17,1,2020-03-25T00:00:00Z,,2020-04-09T00:00:00Z,19,2,0.04173439,2020-08-04T00:00:00Z,19993969.91,0.00491107,0.2416,-28988795.66,-0.5918,368972245.48,0.2420
XTZ,XTZ,XTZ,Tezos,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xtz.svg,active,2.39101305,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,751989233,,1798016071,79,197,0,2017-06-23T00:00:00Z,2017-06-23T00:00:00Z,2018-09-17T00:00:00Z,20,-1,4.36023559,2020-08-12T00:00:00Z,155978595.61,0.01746351,0.0074,-84944359.09,-0.3526,13397836.74,0.0075
XEM,XEM,XEM,NEM,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/xem.svg,active,0.19732262,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,8999999999,8999999999,1775903604,69,159,21,2015-03-31T00:00:00Z,2015-03-31T00:00:00Z,2018-08-29T00:00:00Z,21,-1,1.82080842,2018-01-07T00:00:00Z,52754564.83,0.01013148,0.0541,-17867540.28,-0.2530,91183327.04,0.0541
OKB,OKB,OKB,OKEx Utility Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OKB.png,active,5.36530584,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,271451285,300000000,1456419164,38,191,0,2017-07-09T00:00:00Z,2019-06-13T00:00:00Z,2019-02-14T00:00:00Z,22,0,6.77250723,2020-02-18T00:00:00Z,114057882.62,0.10482345,0.0199,-69665346.51,-0.3792,7092832.16,0.0049
CRO,CRO,CRO,Crypto.com Chain,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cro.jpg,active,0.06614917,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,21978995432,100000000000,1453892236,48,132,0,2019-03-07T00:00:00Z,2019-03-08T00:00:00Z,2019-03-08T00:00:00Z,23,0,0.18190063,2020-09-01T00:00:00Z,49290071.91,0.00080169,0.0123,-14472417.13,-0.2270,18694464.42,0.0130
FIL,FIL,FIL,Filecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FIL.png,active,30.38444111,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,44584205,2000000000,1354666151,49,98,0,2017-11-03T00:00:00Z,2017-11-23T00:00:00Z,2019-06-04T00:00:00Z,24,0,61.74092741,2020-10-15T00:00:00Z,183726233.59,0.38075896,0.0127,-62517626.89,-0.2539,16975835.48,0.0127
LEO,LEO,LEO,UNUS SED LEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/leotoken.png,active,1.36315097,2020-12-02T00:00:00Z,2020-12-02T20:59:00Z,973229883,985239504,1326659255,28,77,1,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,2019-05-20T00:00:00Z,25,0,1.97050909,2019-06-12T00:00:00Z,12487957.17,0.00889793,0.0066,-2337994.75,-0.1577,8596626.55,0.0065
ATOM,ATOM,ATOM,Cosmos,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/atom.jpg,active,5.48440352,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,238526147,,1308173640,78,195,0,2017-07-09T00:00:00Z,2019-04-22T00:00:00Z,2019-03-14T00:00:00Z,26,0,8.49418970,2020-08-23T00:00:00Z,249655765.04,0.15315060,0.0287,-24823599.06,-0.0904,36530421.76,0.0287
NEO,NEO,NEO,NEO,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/neo.svg,active,18.15251387,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,70530000,100000000,1280296803,111,364,3,2016-10-26T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,27,0,190.44632690,2018-01-15T00:00:00Z,406084721.93,0.23641177,0.0132,-105171159.77,-0.2057,16674122.06,0.0132
CEL,CEL,CEL,Celsius,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/cel.jpg,active,2.44116952,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,497139990,695658161,1213602991,17,35,0,2018-04-24T00:00:00Z,2018-04-24T00:00:00Z,2019-06-12T00:00:00Z,28,0,2.56900472,2020-11-23T00:00:00Z,5357755.61,-0.01401482,-0.0057,630361.65,0.1333,-6967326.28,-0.0057
DAI,DAI,DAI,Dai,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/DAI.svg,active,1.00520795,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,1077410034,1077410034,1083021132,109,644,68,2017-12-22T00:00:00Z,2017-12-22T00:00:00Z,2018-09-07T00:00:00Z,29,0,1.15249389,2018-04-07T00:00:00Z,112552113.13,0.01026534,0.0103,-62923994.52,-0.3586,31062426.42,0.0295
VET,VET,VET,VeChain Thor,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/vet.png,active,0.01660361,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,64850448123,86712634466,1076751233,46,147,4,2018-07-13T00:00:00Z,2018-07-24T00:00:00Z,2018-08-29T00:00:00Z,30,1,0.02647808,2018-07-29T00:00:00Z,159420736.77,0.00158196,0.1053,-19201448.73,-0.1075,102590777.50,0.1053
DASH,DASH,DASH,Dash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dash.svg,active,105.29765046,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,9847088,18920000,1036875246,177,719,129,2014-02-07T00:00:00Z,2014-02-07T00:00:00Z,2018-08-29T00:00:00Z,31,-1,1440.89933983,2017-12-20T00:00:00Z,580520257.39,-1.24953622,-0.0117,-273164321.18,-0.3200,-12139548.68,-0.0116
AAVE,AAVE,AAVE,Aave,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AAVE.jpg,active,86.56606386,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,11926168,16000000,1032401394,51,106,0,2020-10-03T00:00:00Z,2020-10-07T00:00:00Z,2020-10-04T00:00:00Z,32,2,87.12098710,2020-12-02T00:00:00Z,311785804.18,10.89201318,0.1439,112623664.84,0.5655,130937061.67,0.1452
UNI,UNI,UNI,Uniswap Protocol Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UNISWAP.svg,active,4.04165041,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,246103972,1000000000,994666218,92,334,3,2019-06-03T00:00:00Z,2020-08-24T00:00:00Z,2019-10-11T00:00:00Z,33,2,6.99542829,2020-09-18T00:00:00Z,354198448.12,0.42345609,0.1170,-23589832.47,-0.0624,105851799.92,0.1191
IOT,IOT,IOT,IOTA,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iot.svg,active,0.34230971,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,2779530283,2779530283,951460198,32,96,0,2017-06-12T00:00:00Z,2017-06-12T00:00:00Z,2018-08-29T00:00:00Z,34,-1,5.34969233,2017-12-19T00:00:00Z,19367294.67,0.01017825,0.0306,-18059544.74,-0.4825,28290755.67,0.0306
HT,HT,HT,Huobi Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ht.jpg,active,3.99561613,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,233370545,500000000,932459114,57,299,3,2018-06-16T00:00:00Z,2018-06-16T00:00:00Z,2019-02-15T00:00:00Z,35,-3,5.14680672,2019-08-08T00:00:00Z,109629994.80,0.03686350,0.0093,-77552114.00,-0.4143,8602854.92,0.0093
YFI,YFI,YFI,yearn.finance,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/YFI.png,active,30750.87521404,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,30000,30000,922526256,86,202,1,2020-07-21T00:00:00Z,2020-07-21T00:00:00Z,2020-07-21T00:00:00Z,36,1,43275.89784000,2020-09-12T00:00:00Z,772021676.15,4544.31095476,0.1734,181546145.60,0.3075,136329328.64,0.1734
ZEC,ZEC,ZEC,Zcash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zec.svg,active,75.78614038,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,10602506,,803523027,149,401,23,2016-09-15T00:00:00Z,2016-09-15T00:00:00Z,2018-08-29T00:00:00Z,37,-1,2066.41217915,2016-10-29T00:00:00Z,484184274.87,-2.09073581,-0.0268,-221503125.45,-0.3139,-21615573.92,-0.0262
ETC,ETC,ETC,Ethereum Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/etc.svg,active,6.25771101,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,116319790,210700000,727895631,144,548,94,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z,2018-08-29T00:00:00Z,38,0,42.83573834,2018-01-14T00:00:00Z,594512967.66,-0.01583082,-0.0025,-562546825.50,-0.4862,-1841437.36,-0.0025
SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,5.34412627,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,134247992,210202519,717438223,77,166,1,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,39,3,7.33654262,2020-08-31T00:00:00Z,61057784.70,0.48231225,0.0992,-1010543.27,-0.0163,65025481.52,0.0997
WAVES,WAVES,WAVES,Waves,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WAVES.png,active,7.15767337,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,100000000,100000000,715767337,69,1065,3276,2016-06-20T00:00:00Z,2016-11-15T00:00:00Z,2018-08-29T00:00:00Z,40,-1,16.14065542,2017-12-21T00:00:00Z,78939734.89,0.33001598,0.0483,-16565751.28,-0.1735,33001597.88,0.0483
CETH,CETH,CETH,Compound Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CETH2.svg,active,11.95309266,2020-12-02T00:00:00Z,2020-12-02T20:59:00Z,57127083,57127083,682845322,3,7,0,2020-03-25T00:00:00Z,,,41,-1,12.32533759,2020-11-30T00:00:00Z,2544322.98,0.12073123,0.0102,-19765707.60,-0.8860,3380314.73,0.0050
BUSD,BUSD,BUSD,Binance USD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BUSD.png,active,1.00032108,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,658515301,671087297,658726735,32,262,8,2017-07-09T00:00:00Z,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,42,-1,1.02500316,2020-03-12T00:00:00Z,799413079.94,0.00763446,0.0077,-495494876.76,-0.3826,636422.31,0.0010
BTCV2,BTCV2,BTCV,Bitcoin Vault,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTCV2.jpg,active,67.29725562,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,9727875,21000000,654659290,13,24,0,2019-12-21T00:00:00Z,2020-02-21T00:00:00Z,2020-02-14T00:00:00Z,43,0,485.90709106,2020-08-01T00:00:00Z,8465433.44,0.51198049,0.0077,-4200470.33,-0.3316,5806950.00,0.0089
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,0.63577209,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,1000000000,1000000000,635772088,27,76,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,44,0,0.77759600,2020-09-29T00:00:00Z,17269606.74,0.02943595,0.0485,-6974610.88,-0.2877,29435946.56,0.0485
KSM,KSM,KSM,Kusama,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KSM.jpg,active,63.76228394,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,8980098,10000000,572591563,29,55,0,2019-07-31T00:00:00Z,2020-07-25T00:00:00Z,2019-12-31T00:00:00Z,45,1,63.82929815,2020-12-02T00:00:00Z,87490094.60,9.40182790,0.1730,23987395.12,0.3777,84429336.62,0.1730
OMG,OMG,OMG,OMG Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OMG.jpeg,active,3.85884547,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,140245398,140245398,541185320,169,414,2,2017-06-19T00:00:00Z,2017-06-19T00:00:00Z,2018-08-29T00:00:00Z,46,-1,25.57820681,2018-01-13T00:00:00Z,177010687.42,0.12604699,0.0338,-57267311.41,-0.2444,17677510.06,0.0338
MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,559.14451837,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,907282,1000839,507302025,101,252,1,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,47,0,1692.51197318,2018-01-20T00:00:00Z,34311021.74,24.09311540,0.0450,-11881434.16,-0.2572,21772221.40,0.0448
ONT,ONT,ONT,Ontology,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ONT.png,active,0.57694153,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,820298021,1000000000,473263994,66,165,0,2018-03-08T00:00:00Z,2018-03-08T00:00:00Z,2018-08-29T00:00:00Z,48,0,9.93090430,2018-05-03T00:00:00Z,145594240.39,0.01483603,0.0264,-80705912.54,-0.3566,14043652.88,0.0306
CUSDC,CUSDC,CUSDC,Compound USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDC.svg,active,0.02112069,2020-12-02T00:00:00Z,2020-12-02T20:59:00Z,21476105584,21476105584,453590256,5,11,0,2019-09-22T00:00:00Z,,2020-04-09T00:00:00Z,49,2,0.04344551,2020-09-11T00:00:00Z,2329148.37,0.00121806,0.0612,-2708830.84,-0.5377,23736575.22,0.0552
COMP,COMP,COMP,Compound,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/COMP.png,active,109.76522262,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,3970390,10000000,435810772,90,207,5,2020-06-15T00:00:00Z,2020-06-16T00:00:00Z,2020-06-15T00:00:00Z,50,3,336.11988345,2020-06-21T00:00:00Z,66845335.24,2.77789146,0.0260,-29822867.20,-0.3085,11194189.79,0.0264
UMA,UMA,UMA,UMA,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UMA.jpeg,active,7.84586859,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,55499823,101124454,435444316,42,87,0,2020-04-30T00:00:00Z,2020-07-30T00:00:00Z,2020-04-30T00:00:00Z,51,-1,25.51123115,2020-09-01T00:00:00Z,10851920.18,-0.07529657,-0.0095,-2158246.37,-0.1659,-4168744.16,-0.0095
DOGE,DOGE,DOGE,Dogecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/doge.svg,active,0.00335115,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,127347938810,,426762543,145,2280,1035,2014-01-21T00:00:00Z,2014-01-21T00:00:00Z,2018-09-12T00:00:00Z,52,0,0.01709563,2018-01-07T00:00:00Z,84009741.64,-0.00002330,-0.0069,-31616700.38,-0.2734,-2920334.22,-0.0068
PAX,PAX,PAX,Paxos Standard,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pax.png,active,1.00032359,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,400156797,400156797,400286285,90,490,18,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-09-29T00:00:00Z,53,1,1.03580715,2020-03-12T00:00:00Z,69669087.27,0.00797429,0.0080,-32694876.00,-0.3194,-4303653.57,-0.0106
AMPL,AMPL,AMPL,Ampleforth,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AMPL.png,active,1.56781352,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,242632242,338858025,380402110,28,109,1,2019-06-27T00:00:00Z,2019-06-27T00:00:00Z,2019-06-27T00:00:00Z,54,1,3.78362496,2020-07-11T00:00:00Z,15445222.97,0.02300552,0.0149,1973784.95,0.1465,23138029.13,0.0648
FTXTOKEN,FTXTOKEN,FTT,FTX Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FTXTOKEN.png,active,4.50014898,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,84456963,342265553,380068914,12,25,0,2019-07-28T00:00:00Z,2019-07-29T00:00:00Z,2019-07-29T00:00:00Z,55,-6,4.67675772,2020-11-30T00:00:00Z,12503646.41,-0.04043796,-0.0089,-10514668.83,-0.4568,-63827231.33,-0.1438
ZIL,ZIL,ZIL,Zilliqa,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zil.svg,active,0.03172493,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,11457362438,21000000000,363484059,82,191,0,2018-01-25T00:00:00Z,2018-01-25T00:00:00Z,2018-08-29T00:00:00Z,56,1,0.19981882,2018-05-09T00:00:00Z,59678495.11,0.00330500,0.1163,3683188.29,0.0658,37975208.40,0.1167
BAT,BAT,BAT,Basic Attention Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bat.svg,active,0.24224456,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,1482331733,1500000000,359086802,161,422,0,2017-06-03T00:00:00Z,2017-10-01T00:00:00Z,2018-08-29T00:00:00Z,57,-1,0.90352001,2018-01-09T00:00:00Z,54352167.18,0.00307377,0.0129,-37335779.40,-0.4072,4556345.47,0.0129
TUSD,TUSD,TUSD,TrueUSD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/tusd.svg,active,1.00063254,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,331515612,331800669,331725307,111,668,61,2018-03-06T00:00:00Z,2018-03-06T00:00:00Z,2018-08-29T00:00:00Z,58,3,1.09261881,2018-05-21T00:00:00Z,87726314.95,0.00720566,0.0073,-42309950.63,-0.3254,30601490.66,0.1016
DCR,DCR,DCR,Decred,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/dcr.svg,active,26.32245929,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,12319792,21000000,324287222,42,102,0,2016-02-09T00:00:00Z,2016-05-16T00:00:00Z,2018-09-12T00:00:00Z,59,1,123.15454965,2018-01-13T00:00:00Z,4179793.23,1.74168146,0.0709,-1507931.51,-0.2651,21563769.08,0.0712
